supplier,scenario,split,unit,cohort,model,rows,skus,actual_total_qty,prediction_total_qty,mae_qty,mean_error_qty,wape_percent,bias_percent,zero_actual_rows,zero_actual_mae_qty,short_history_rows,macro_sku_wape_percent,macro_sku_wape_skus
IEK,operational_zero_assumption,test,компл,available,current,2,1,0.00000000,0.00000000,0.00000000,0.00000000,,,2,0.00000000,0,,0
IEK,operational_zero_assumption,test,компл,available,last_month,2,1,0.00000000,0.00000000,0.00000000,0.00000000,,,2,0.00000000,0,,0
IEK,operational_zero_assumption,test,компл,available,same_month_last_year,2,1,0.00000000,0.00000000,0.00000000,0.00000000,,,2,0.00000000,0,,0
IEK,operational_zero_assumption,test,компл,paired_last_month,current,2,1,0.00000000,0.00000000,0.00000000,0.00000000,,,2,0.00000000,0,,0
IEK,operational_zero_assumption,test,компл,paired_last_month,last_month,2,1,0.00000000,0.00000000,0.00000000,0.00000000,,,2,0.00000000,0,,0
IEK,operational_zero_assumption,test,компл,paired_same_month_last_year,current,2,1,0.00000000,0.00000000,0.00000000,0.00000000,,,2,0.00000000,0,,0
IEK,operational_zero_assumption,test,компл,paired_same_month_last_year,same_month_last_year,2,1,0.00000000,0.00000000,0.00000000,0.00000000,,,2,0.00000000,0,,0
IEK,operational_zero_assumption,test,компл,common_all_models,current,2,1,0.00000000,0.00000000,0.00000000,0.00000000,,,2,0.00000000,0,,0
IEK,operational_zero_assumption,test,компл,common_all_models,last_month,2,1,0.00000000,0.00000000,0.00000000,0.00000000,,,2,0.00000000,0,,0
IEK,operational_zero_assumption,test,компл,common_all_models,same_month_last_year,2,1,0.00000000,0.00000000,0.00000000,0.00000000,,,2,0.00000000,0,,0
IEK,operational_zero_assumption,test,м,available,current,274,137,104786.00000000,86211.15810000,239.12104708,-67.79139380,62.52664182,-17.72645382,143,6.39146294,0,156.38323738,80
IEK,operational_zero_assumption,test,м,available,last_month,274,137,104786.00000000,106308.00000000,277.62773723,5.55474453,72.59557574,1.45248411,143,10.88811189,0,148.80081270,80
IEK,operational_zero_assumption,test,м,available,same_month_last_year,274,137,104786.00000000,144267.00000000,362.17153285,144.09124088,94.70253660,37.67774321,143,64.66433566,0,892.00621382,80
IEK,operational_zero_assumption,test,м,paired_last_month,current,274,137,104786.00000000,86211.15810000,239.12104708,-67.79139380,62.52664182,-17.72645382,143,6.39146294,0,156.38323738,80
IEK,operational_zero_assumption,test,м,paired_last_month,last_month,274,137,104786.00000000,106308.00000000,277.62773723,5.55474453,72.59557574,1.45248411,143,10.88811189,0,148.80081270,80
IEK,operational_zero_assumption,test,м,paired_same_month_last_year,current,274,137,104786.00000000,86211.15810000,239.12104708,-67.79139380,62.52664182,-17.72645382,143,6.39146294,0,156.38323738,80
IEK,operational_zero_assumption,test,м,paired_same_month_last_year,same_month_last_year,274,137,104786.00000000,144267.00000000,362.17153285,144.09124088,94.70253660,37.67774321,143,64.66433566,0,892.00621382,80
IEK,operational_zero_assumption,test,м,common_all_models,current,274,137,104786.00000000,86211.15810000,239.12104708,-67.79139380,62.52664182,-17.72645382,143,6.39146294,0,156.38323738,80
IEK,operational_zero_assumption,test,м,common_all_models,last_month,274,137,104786.00000000,106308.00000000,277.62773723,5.55474453,72.59557574,1.45248411,143,10.88811189,0,148.80081270,80
IEK,operational_zero_assumption,test,м,common_all_models,same_month_last_year,274,137,104786.00000000,144267.00000000,362.17153285,144.09124088,94.70253660,37.67774321,143,64.66433566,0,892.00621382,80
IEK,operational_zero_assumption,test,упак,available,current,178,89,8108.00000000,5846.68990000,19.53970843,-12.70398933,42.89674519,-27.88986310,86,0.39676395,0,122.27476195,55
IEK,operational_zero_assumption,test,упак,available,last_month,178,89,8108.00000000,7771.00000000,13.50000000,-1.89325843,29.63739517,-4.15638875,86,0.72093023,0,101.70018366,55
IEK,operational_zero_assumption,test,упак,available,same_month_last_year,178,89,8108.00000000,8650.00000000,14.68539326,3.04494382,32.23976320,6.68475580,86,0.74418605,0,187.36625676,55
