sku,unit,forecast_horizon_qty,supplier_id,as_of,horizon_days,forecast_status,assumption
0000352,шт,,IEK,2026-09-23,35,insufficient_history,uniform_within_month;recursive_future_months;not_35day_backtested
010300001_,шт,24.01890311726448,IEK,2026-09-23,35,approximate,uniform_within_month;recursive_future_months;not_35day_backtested
010300002_,шт,202.68617393568036,IEK,2026-09-23,35,approximate,uniform_within_month;recursive_future_months;not_35day_backtested
010300003_,шт,125.74339202958134,IEK,2026-09-23,35,approximate,uniform_within_month;recursive_future_months;not_35day_backtested
010300004_,шт,18.504580121425505,IEK,2026-09-23,35,approximate,uniform_within_month;recursive_future_months;not_35day_backtested
010300005_,шт,80.03530366567897,IEK,2026-09-23,35,approximate,uniform_within_month;recursive_future_months;not_35day_backtested
010300006_,шт,249.87129195729352,IEK,2026-09-23,35,approximate,uniform_within_month;recursive_future_months;not_35day_backtested
010300007_,шт,59.298170872841226,IEK,2026-09-23,35,approximate,uniform_within_month;recursive_future_months;not_35day_backtested
010300008_,шт,29.337236217326662,IEK,2026-09-23,35,approximate,uniform_within_month;recursive_future_months;not_35day_backtested
010300009_,шт,24.408932746885213,IEK,2026-09-23,35,approximate,uniform_within_month;recursive_future_months;not_35day_backtested
010300010_,шт,25.547218144894746,IEK,2026-09-23,35,approximate,uniform_within_month;recursive_future_months;not_35day_backtested
010300011_,шт,26.707066900709272,IEK,2026-09-23,35,approximate,uniform_within_month;recursive_future_months;not_35day_backtested
010300012_,шт,17.729304183744752,IEK,2026-09-23,35,approximate,uniform_within_month;recursive_future_months;not_35day_backtested
010300013_,шт,21.185614173551826,IEK,2026-09-23,35,approximate,uniform_within_month;recursive_future_months;not_35day_backtested
010300014_,шт,85.01921769786937,IEK,2026-09-23,35,approximate,uniform_within_month;recursive_future_months;not_35day_backtested
010300015_,шт,174.69170319025724,IEK,2026-09-23,35,approximate,uniform_within_month;recursive_future_months;not_35day_backtested
010300016_,шт,81.87362803162475,IEK,2026-09-23,35,approximate,uniform_within_month;recursive_future_months;not_35day_backtested
