sku,unit,target_month,predicted_qty,status,model,supplier_id
010400432_,шт,2026-09-01,3.5654025642190508,forecast,decomposition,SYSTEME
010400433_,шт,2026-09-01,31.666666666666668,forecast,decomposition,SYSTEME
010400436_,шт,2026-09-01,20.114719947814194,forecast,decomposition,SYSTEME
010400437_,шт,2026-09-01,41.719632649908284,forecast,decomposition,SYSTEME
010400440_,шт,2026-09-01,14.605818566386574,forecast,decomposition,SYSTEME
010400441_,шт,2026-09-01,12.451567249628686,forecast,decomposition,SYSTEME
010400444_,шт,2026-09-01,39.55974962228634,forecast,decomposition,SYSTEME
010400445_,шт,2026-09-01,24.121699655651387,forecast,decomposition,SYSTEME
010400447_,шт,2026-09-01,30.052993551950095,forecast,decomposition,SYSTEME
010400448_,шт,2026-09-01,16.615585051781338,forecast,decomposition,SYSTEME
020100158_,шт,2026-09-01,295.33634034417696,forecast,decomposition,SYSTEME
020100159_,шт,2026-09-01,8.5,forecast,decomposition,SYSTEME
020100160_,шт,2026-09-01,133.37172899319486,forecast,decomposition,SYSTEME
020100161_,шт,2026-09-01,4.0,forecast,decomposition,SYSTEME
020100162_,шт,2026-09-01,7.611402813822908,forecast,decomposition,SYSTEME
020100163_,шт,2026-09-01,91.40979399545152,forecast,decomposition,SYSTEME
030200002_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
030200003_,шт,2026-09-01,20.666666666666668,forecast,decomposition,SYSTEME
030200005_,шт,2026-09-01,19.0,forecast,decomposition,SYSTEME
030200006_,шт,2026-09-01,1.0,forecast,decomposition,SYSTEME
030200007_,шт,2026-09-01,43.0,forecast,decomposition,SYSTEME
030200008_,шт,2026-09-01,27.142857142857142,forecast,decomposition,SYSTEME
030200009_,шт,2026-09-01,6.666666666666667,forecast,decomposition,SYSTEME
030200010_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
030200011_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
030200012_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
030200013_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
030200015_,шт,2026-09-01,1.0,forecast,decomposition,SYSTEME
030200016_,шт,2026-09-01,,insufficient_history,decomposition,SYSTEME
030200025_,шт,2026-09-01,17.5,forecast,decomposition,SYSTEME
