sku,shipment,eta,qty_raw,quantity_status,source_as_of,unit_conversion_confirmed
280200252_,ут-8234 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,3000.0,observed,2026-09-22,False
010500003_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,48.0,observed,2026-09-22,False
010500068_,рф ут-7583 от 31 августа 2026 г. (поступление до 10.10.2026),2026-10-10,12.0,observed,2026-09-22,False
010500004_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,1200.0,observed,2026-09-22,False
010500005_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,1800.0,observed,2026-09-22,False
010500006_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,18000.0,observed,2026-09-22,False
010500006_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,12000.0,observed,2026-09-22,False
010500007_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,600.0,observed,2026-09-22,False
010500008_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,12000.0,observed,2026-09-22,False
010500009_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,2400.0,observed,2026-09-22,False
010500010_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,2100.0,observed,2026-09-22,False
010500011_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,288.0,observed,2026-09-22,False
010500012_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,600.0,observed,2026-09-22,False
010500103_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,480.0,observed,2026-09-22,False
010500019_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,1440.0,observed,2026-09-22,False
010500020_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-10-01,60.0,observed,2026-09-22,False
010500021_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,2400.0,observed,2026-09-22,False
010500022_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,720.0,observed,2026-09-22,False
010500024_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,144.0,observed,2026-09-22,False
010500025_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,480.0,observed,2026-09-22,False
010500048_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,48.0,observed,2026-09-22,False
010500032_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,96.0,observed,2026-09-22,False
010500033_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,960.0,observed,2026-09-22,False
010500036_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,960.0,observed,2026-09-22,False
010500037_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,960.0,observed,2026-09-22,False
010500038_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,240.0,observed,2026-09-22,False
010500039_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,960.0,observed,2026-09-22,False
010500090_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,12.0,observed,2026-09-22,False
010500094_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,15.0,observed,2026-09-22,False
010700001_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-30,40.0,observed,2026-09-22,False
