sku,month,stock_qty_raw,stock_status
300200635_,2024-01-01,,blank
300200635_,2024-02-01,,blank
300200635_,2024-03-01,,blank
300200635_,2024-04-01,,blank
300200635_,2024-05-01,,blank
300200635_,2024-06-01,,blank
300200635_,2024-07-01,,blank
300200635_,2024-08-01,,blank
300200635_,2024-09-01,,blank
300200635_,2024-10-01,,blank
300200635_,2024-11-01,,blank
300200635_,2024-12-01,,blank
300200635_,2025-01-01,,blank
300200635_,2025-02-01,,blank
300200635_,2025-03-01,,blank
300200635_,2025-04-01,,blank
300200635_,2025-05-01,,blank
300200635_,2025-06-01,,blank
300200635_,2025-07-01,,blank
300200635_,2025-08-01,,blank
300200635_,2025-09-01,,blank
300200635_,2025-10-01,,blank
300200635_,2025-11-01,,blank
300200635_,2025-12-01,,blank
300200635_,2026-01-01,,blank
300200635_,2026-02-01,,blank
300200635_,2026-03-01,,blank
300200635_,2026-04-01,,blank
300200635_,2026-05-01,,blank
300200635_,2026-06-01,,blank
300200635_,2026-07-01,,blank
300200635_,2026-08-01,,blank
300200635_,2026-09-01,,blank
030200128_,2024-01-01,,blank
030200128_,2024-02-01,,blank
030200128_,2024-03-01,,blank
030200128_,2024-04-01,,blank
030200128_,2024-05-01,,blank
030200128_,2024-06-01,,blank
030200128_,2024-07-01,,blank
030200128_,2024-08-01,,blank
030200128_,2024-09-01,,blank
030200128_,2024-10-01,,blank
030200128_,2024-11-01,,blank
030200128_,2024-12-01,,blank
030200128_,2025-01-01,,blank
030200128_,2025-02-01,,blank
030200128_,2025-03-01,,blank
030200128_,2025-04-01,,blank
030200128_,2025-05-01,,blank
030200128_,2025-06-01,7.0,observed
030200128_,2025-07-01,7.0,observed
030200128_,2025-08-01,5.0,observed
030200128_,2025-09-01,5.0,observed
030200128_,2025-10-01,5.0,observed
030200128_,2025-11-01,3.0,observed
030200128_,2025-12-01,1.0,observed
030200128_,2026-01-01,,blank
030200128_,2026-02-01,,blank
030200128_,2026-03-01,,blank
030200128_,2026-04-01,,blank
030200128_,2026-05-01,,blank
030200128_,2026-06-01,,blank
030200128_,2026-07-01,,blank
030200128_,2026-08-01,,blank
030200128_,2026-09-01,,blank
030200092_,2024-01-01,1.0,observed
030200092_,2024-02-01,1.0,observed
030200092_,2024-03-01,1.0,observed
030200092_,2024-04-01,1.0,observed
030200092_,2024-05-01,1.0,observed
030200092_,2024-06-01,1.0,observed
030200092_,2024-07-01,1.0,observed
030200092_,2024-08-01,1.0,observed
030200092_,2024-09-01,1.0,observed
030200092_,2024-10-01,1.0,observed
030200092_,2024-11-01,1.0,observed
030200092_,2024-12-01,1.0,observed
030200092_,2025-01-01,1.0,observed
030200092_,2025-02-01,1.0,observed
030200092_,2025-03-01,1.0,observed
030200092_,2025-04-01,1.0,observed
030200092_,2025-05-01,1.0,observed
030200092_,2025-06-01,1.0,observed
030200092_,2025-07-01,1.0,observed
030200092_,2025-08-01,7.0,observed
030200092_,2025-09-01,7.0,observed
030200092_,2025-10-01,7.0,observed
030200092_,2025-11-01,7.0,observed
030200092_,2025-12-01,,blank
030200092_,2026-01-01,,blank
030200092_,2026-02-01,,blank
030200092_,2026-03-01,,blank
030200092_,2026-04-01,,blank
030200092_,2026-05-01,,blank
030200092_,2026-06-01,,blank
030200092_,2026-07-01,,blank
030200092_,2026-08-01,,blank
030200092_,2026-09-01,,blank
030200073_,2024-01-01,3.0,observed
030200073_,2024-02-01,3.0,observed
030200073_,2024-03-01,3.0,observed
030200073_,2024-04-01,3.0,observed
030200073_,2024-05-01,3.0,observed
030200073_,2024-06-01,3.0,observed
030200073_,2024-07-01,3.0,observed
030200073_,2024-08-01,15.0,observed
030200073_,2024-09-01,15.0,observed
030200073_,2024-10-01,15.0,observed
030200073_,2024-11-01,15.0,observed
030200073_,2024-12-01,15.0,observed
030200073_,2025-01-01,15.0,observed
030200073_,2025-02-01,3.0,observed
030200073_,2025-03-01,3.0,observed
030200073_,2025-04-01,3.0,observed
030200073_,2025-05-01,3.0,observed
030200073_,2025-06-01,3.0,observed
030200073_,2025-07-01,3.0,observed
030200073_,2025-08-01,3.0,observed
030200073_,2025-09-01,3.0,observed
030200073_,2025-10-01,3.0,observed
030200073_,2025-11-01,3.0,observed
030200073_,2025-12-01,,blank
030200073_,2026-01-01,12.0,observed
030200073_,2026-02-01,12.0,observed
030200073_,2026-03-01,12.0,observed
030200073_,2026-04-01,12.0,observed
030200073_,2026-05-01,12.0,observed
030200073_,2026-06-01,12.0,observed
030200073_,2026-07-01,12.0,observed
030200073_,2026-08-01,12.0,observed
030200073_,2026-09-01,12.0,observed
300100004_,2024-01-01,1.0,observed
300100004_,2024-02-01,1.0,observed
300100004_,2024-03-01,1.0,observed
300100004_,2024-04-01,1.0,observed
300100004_,2024-05-01,1.0,observed
300100004_,2024-06-01,1.0,observed
300100004_,2024-07-01,1.0,observed
300100004_,2024-08-01,9.0,observed
300100004_,2024-09-01,9.0,observed
300100004_,2024-10-01,9.0,observed
300100004_,2024-11-01,9.0,observed
300100004_,2024-12-01,9.0,observed
300100004_,2025-01-01,5.0,observed
300100004_,2025-02-01,1.0,observed
300100004_,2025-03-01,1.0,observed
300100004_,2025-04-01,1.0,observed
300100004_,2025-05-01,1.0,observed
300100004_,2025-06-01,1.0,observed
300100004_,2025-07-01,1.0,observed
300100004_,2025-08-01,1.0,observed
300100004_,2025-09-01,1.0,observed
300100004_,2025-10-01,1.0,observed
300100004_,2025-11-01,1.0,observed
300100004_,2025-12-01,,blank
300100004_,2026-01-01,4.0,observed
300100004_,2026-02-01,4.0,observed
300100004_,2026-03-01,4.0,observed
300100004_,2026-04-01,4.0,observed
300100004_,2026-05-01,4.0,observed
300100004_,2026-06-01,4.0,observed
300100004_,2026-07-01,4.0,observed
300100004_,2026-08-01,4.0,observed
300100004_,2026-09-01,4.0,observed
030200382_,2024-01-01,228.0,observed
030200382_,2024-02-01,227.0,observed
030200382_,2024-03-01,223.0,observed
030200382_,2024-04-01,222.0,observed
030200382_,2024-05-01,221.0,observed
030200382_,2024-06-01,212.0,observed
030200382_,2024-07-01,208.0,observed
030200382_,2024-08-01,205.0,observed
030200382_,2024-09-01,131.0,observed
030200382_,2024-10-01,165.0,observed
030200382_,2024-11-01,160.0,observed
030200382_,2024-12-01,160.0,observed
030200382_,2025-01-01,158.0,observed
030200382_,2025-02-01,158.0,observed
030200382_,2025-03-01,158.0,observed
030200382_,2025-04-01,158.0,observed
030200382_,2025-05-01,158.0,observed
030200382_,2025-06-01,158.0,observed
030200382_,2025-07-01,158.0,observed
030200382_,2025-08-01,167.0,observed
030200382_,2025-09-01,164.0,observed
030200382_,2025-10-01,161.0,observed
030200382_,2025-11-01,152.0,observed
030200382_,2025-12-01,142.0,observed
030200382_,2026-01-01,127.0,observed
030200382_,2026-02-01,118.0,observed
030200382_,2026-03-01,111.0,observed
030200382_,2026-04-01,107.0,observed
030200382_,2026-05-01,88.0,observed
030200382_,2026-06-01,43.0,observed
030200382_,2026-07-01,39.0,observed
030200382_,2026-08-01,34.0,observed
030200382_,2026-09-01,34.0,observed
030200345,2024-01-01,,blank
030200345,2024-02-01,,blank
030200345,2024-03-01,,blank
030200345,2024-04-01,,blank
030200345,2024-05-01,,blank
030200345,2024-06-01,,blank
030200345,2024-07-01,,blank
030200345,2024-08-01,,blank
030200345,2024-09-01,,blank
030200345,2024-10-01,,blank
030200345,2024-11-01,,blank
030200345,2024-12-01,,blank
030200345,2025-01-01,,blank
030200345,2025-02-01,,blank
030200345,2025-03-01,,blank
030200345,2025-04-01,,blank
030200345,2025-05-01,,blank
030200345,2025-06-01,10.0,observed
030200345,2025-07-01,10.0,observed
030200345,2025-08-01,10.0,observed
030200345,2025-09-01,10.0,observed
030200345,2025-10-01,10.0,observed
030200345,2025-11-01,10.0,observed
030200345,2025-12-01,10.0,observed
030200345,2026-01-01,10.0,observed
030200345,2026-02-01,10.0,observed
030200345,2026-03-01,10.0,observed
030200345,2026-04-01,10.0,observed
030200345,2026-05-01,10.0,observed
