sku,shipment,source_as_of,eta,qty_raw,transit_unit,qty_stock_units,eta_bucket,usable,reasons
010300001_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-22,2026-09-30,10.0,,,in_horizon,False,unit_conversion_unknown
010300007_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-22,2026-09-30,32.0,,,in_horizon,False,unit_conversion_unknown
010300009_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-22,2026-09-30,24.0,,,in_horizon,False,unit_conversion_unknown
010300011_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-22,2026-09-30,24.0,,,in_horizon,False,unit_conversion_unknown
010300014_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-09-22,2026-10-01,96.0,,,in_horizon,False,unit_conversion_unknown
010300015_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-09-22,2026-10-01,192.0,,,in_horizon,False,unit_conversion_unknown
010300057_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-09-22,2026-10-01,144.0,,,in_horizon,False,unit_conversion_unknown
010300075_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-09-22,2026-10-01,600.0,,,in_horizon,False,unit_conversion_unknown
010300095_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-09-22,2026-10-01,360.0,,,in_horizon,False,unit_conversion_unknown
010300123_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-22,2026-09-30,10.0,,,in_horizon,False,unit_conversion_unknown
010300124_,ут-8233 от 18 сентября 2026 г. (поступление до 30.09.2026),2026-09-22,2026-09-30,3.0,,,in_horizon,False,unit_conversion_unknown
010400849_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-09-22,2026-10-01,7.0,,,in_horizon,False,unit_conversion_unknown
010400850_,рф ут-7974 от 10 сентября 2026 г. (поступление до 15.10.2026),2026-09-22,2026-10-15,4.0,,,in_horizon,False,unit_conversion_unknown
010400865_,рф ут-7583 от 31 августа 2026 г. (поступление до 10.10.2026),2026-09-22,2026-10-10,7.0,,,in_horizon,False,unit_conversion_unknown
010400925_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-09-22,2026-10-01,11.0,,,in_horizon,False,unit_conversion_unknown
010400926_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-09-22,2026-10-01,5.0,,,in_horizon,False,unit_conversion_unknown
010400927_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-09-22,2026-10-01,8.0,,,in_horizon,False,unit_conversion_unknown
010400929_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-09-22,2026-10-01,5.0,,,in_horizon,False,unit_conversion_unknown
010400931_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-09-22,2026-10-01,3.0,,,in_horizon,False,unit_conversion_unknown
010400933_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-09-22,2026-10-01,8.0,,,in_horizon,False,unit_conversion_unknown
010400947_,пп ут-7848 от 7 сентября 2026 г. (поступление до 01.10.2026),2026-09-22,2026-10-01,6.0,,,in_horizon,False,unit_conversion_unknown
